node1,node2,label,cn,sc,aa,ra,pa,tn
10898,8683,1,0.0,0.0,0.0,0.0,403.0,44.0
344040,8683,1,0.0,0.0,0.0,0.0,31.0,32.0
11315,8683,1,0.0,0.0,0.0,0.0,2046.0,97.0
308428,8683,1,1.0,0.0,0.20780583746414044,0.008130081300813009,1488.0,78.0
92450,8683,1,0.0,0.0,0.0,0.0,1674.0,85.0
158456,8683,1,0.0,0.0,0.0,0.0,93.0,34.0
7297,8683,1,1.0,0.0,0.22953106112437666,0.01282051282051282,1736.0,86.0
308258,8683,1,2.0,0.0,0.45360033941072764,0.03719576719576719,4216.0,165.0
109107,8683,1,0.0,0.0,0.0,0.0,31.0,32.0
69206,8683,1,1.0,0.0,0.20780583746414044,0.008130081300813009,310.0,40.0
308432,8683,1,1.0,0.0,0.20780583746414044,0.008130081300813009,1302.0,72.0
56218,4575,1,0.0,0.0,0.0,0.0,39.0,16.0
23925,4575,1,0.0,0.0,0.0,0.0,65.0,18.0
55434,4575,1,0.0,0.0,0.0,0.0,221.0,30.0
336891,4575,1,0.0,0.0,0.0,0.0,715.0,68.0
9040,4575,1,0.0,0.0,0.0,0.0,884.0,81.0
336879,4575,1,0.0,0.0,0.0,0.0,1183.0,104.0
55825,4575,1,0.0,0.0,0.0,0.0,52.0,17.0
204436,4575,1,0.0,0.0,0.0,0.0,65.0,18.0
455,4575,1,0.0,0.0,0.0,0.0,559.0,56.0
59781,4575,1,0.0,0.0,0.0,0.0,195.0,28.0
336994,4575,1,0.0,0.0,0.0,0.0,7254.0,571.0
11047,4575,1,0.0,0.0,0.0,0.0,429.0,46.0
56345,4575,1,0.0,0.0,0.0,0.0,104.0,21.0
24211,5605,1,0.0,0.0,0.0,0.0,8.0,9.0
34033,5605,1,0.0,0.0,0.0,0.0,8.0,9.0
100016,5605,1,0.0,0.0,0.0,0.0,8.0,9.0
32477,5605,1,0.0,0.0,0.0,0.0,8.0,9.0
24788,5605,1,0.0,0.0,0.0,0.0,48.0,14.0
9676,5605,1,0.0,0.0,0.0,0.0,16.0,10.0
30688,5605,1,0.0,0.0,0.0,0.0,8.0,9.0
24722,5605,1,0.0,0.0,0.0,0.0,32.0,12.0
238748,166251,1,0.0,0.0,0.0,0.0,7.0,8.0
252909,166251,1,0.0,0.0,0.0,0.0,63.0,16.0
210699,166251,1,0.0,0.0,0.0,0.0,7.0,8.0
57442,166251,1,0.0,0.0,0.0,0.0,28.0,11.0
2708,166251,1,0.0,0.0,0.0,0.0,728.0,111.0
56218,166251,1,0.0,0.0,0.0,0.0,21.0,10.0
56345,166251,1,0.0,0.0,0.0,0.0,56.0,15.0
752,22038,1,0.0,0.0,0.0,0.0,50.0,15.0
7718,22038,1,0.0,0.0,0.0,0.0,930.0,191.0
7444,22038,1,0.0,0.0,0.0,0.0,85.0,22.0
22264,22038,1,0.0,0.0,0.0,0.0,15.0,8.0
5384,22038,1,0.0,0.0,0.0,0.0,60.0,17.0
1230,365461,1,0.0,0.0,0.0,0.0,231.0,80.0
314,365461,1,0.0,0.0,0.0,0.0,87.0,32.0
1520,365461,1,0.0,0.0,0.0,0.0,228.0,79.0
19308,59209,1,0.0,0.0,0.0,0.0,90.0,19.0
64225,59209,1,0.0,0.0,0.0,0.0,90.0,19.0
75421,59209,1,0.0,0.0,0.0,0.0,1130.0,123.0
55697,59209,1,0.0,0.0,0.0,0.0,70.0,17.0
23975,59209,1,0.0,0.0,0.0,0.0,1300.0,140.0
56345,59209,1,1.0,0.0,1.4426950408889634,0.5,80.0,17.0
156455,59209,1,0.0,0.0,0.0,0.0,40.0,14.0
55650,59209,1,0.0,0.0,0.0,0.0,60.0,16.0
247234,59209,1,1.0,0.0,0.48089834696298783,0.125,20.0,11.0
275424,59209,1,0.0,0.0,0.0,0.0,50.0,15.0
359,4232,1,5.0,0.0,1.2076121212671185,0.10520555948809564,9438.0,314.0
336994,4232,1,11.0,0.0,3.133167623224951,0.4338249923095658,18414.0,580.0
255984,4232,1,1.0,0.0,0.2729584204093974,0.02564102564102564,1551.0,79.0
27295,4232,1,6.0,0.0,1.332394277877652,0.07095658056657618,1518.0,73.0
7724,4232,1,0.0,0.0,0.0,0.0,9735.0,328.0
